Tx1,Tx2,Tx3,Position_Label,Coordinate_Hint
-23,-38,-42,P1,"(0.35, 0.35)"
-24,-41,-41,P1,"(0.35, 0.35)"
-24,-39,-42,P1,"(0.35, 0.35)"
-23,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-42,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-42,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-23,-39,-42,P1,"(0.35, 0.35)"
-23,-39,-42,P1,"(0.35, 0.35)"
-23,-39,-42,P1,"(0.35, 0.35)"
-23,-39,-42,P1,"(0.35, 0.35)"
-27,-39,-42,P1,"(0.35, 0.35)"
-24,-38,-42,P1,"(0.35, 0.35)"
-24,-38,-42,P1,"(0.35, 0.35)"
-24,-39,-42,P1,"(0.35, 0.35)"
-24,-39,-42,P1,"(0.35, 0.35)"
-24,-39,-42,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-42,P1,"(0.35, 0.35)"
-23,-39,-42,P1,"(0.35, 0.35)"
-23,-40,-42,P1,"(0.35, 0.35)"
-24,-39,-42,P1,"(0.35, 0.35)"
-24,-39,-43,P1,"(0.35, 0.35)"
-23,-39,-42,P1,"(0.35, 0.35)"
-24,-39,-42,P1,"(0.35, 0.35)"
-24,-39,-42,P1,"(0.35, 0.35)"
-24,-39,-42,P1,"(0.35, 0.35)"
-23,-39,-42,P1,"(0.35, 0.35)"
-24,-39,-42,P1,"(0.35, 0.35)"
-24,-39,-42,P1,"(0.35, 0.35)"
-24,-39,-42,P1,"(0.35, 0.35)"
-24,-39,-42,P1,"(0.35, 0.35)"
-24,-36,-41,P1,"(0.35, 0.35)"
-23,-39,-42,P1,"(0.35, 0.35)"
-23,-40,-42,P1,"(0.35, 0.35)"
-24,-39,-42,P1,"(0.35, 0.35)"
-24,-39,-42,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-42,P1,"(0.35, 0.35)"
-24,-40,-43,P1,"(0.35, 0.35)"
-23,-39,-42,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-23,-39,-41,P1,"(0.35, 0.35)"
-23,-39,-41,P1,"(0.35, 0.35)"
-23,-39,-41,P1,"(0.35, 0.35)"
-23,-39,-42,P1,"(0.35, 0.35)"
-23,-39,-41,P1,"(0.35, 0.35)"
-23,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-42,P1,"(0.35, 0.35)"
-24,-39,-42,P1,"(0.35, 0.35)"
-23,-39,-42,P1,"(0.35, 0.35)"
-24,-39,-42,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-40,-41,P1,"(0.35, 0.35)"
-24,-39,-42,P1,"(0.35, 0.35)"
-24,-39,-42,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-40,-42,P1,"(0.35, 0.35)"
-24,-40,-42,P1,"(0.35, 0.35)"
-24,-40,-42,P1,"(0.35, 0.35)"
-24,-40,-42,P1,"(0.35, 0.35)"
-24,-40,-42,P1,"(0.35, 0.35)"
-24,-40,-42,P1,"(0.35, 0.35)"
-24,-40,-42,P1,"(0.35, 0.35)"
-24,-40,-42,P1,"(0.35, 0.35)"
-24,-40,-42,P1,"(0.35, 0.35)"
-24,-40,-42,P1,"(0.35, 0.35)"
-24,-40,-42,P1,"(0.35, 0.35)"
-24,-40,-42,P1,"(0.35, 0.35)"
-24,-40,-42,P1,"(0.35, 0.35)"
-24,-39,-42,P1,"(0.35, 0.35)"
-24,-40,-41,P1,"(0.35, 0.35)"
-25,-42,-42,P1,"(0.35, 0.35)"
-24,-42,-41,P1,"(0.35, 0.35)"
-25,-42,-41,P1,"(0.35, 0.35)"
-24,-41,-42,P1,"(0.35, 0.35)"
-24,-40,-42,P1,"(0.35, 0.35)"
-24,-40,-41,P1,"(0.35, 0.35)"
-25,-41,-41,P1,"(0.35, 0.35)"
-25,-40,-42,P1,"(0.35, 0.35)"
-25,-39,-42,P1,"(0.35, 0.35)"
-25,-39,-42,P1,"(0.35, 0.35)"
-25,-39,-42,P1,"(0.35, 0.35)"
-25,-39,-42,P1,"(0.35, 0.35)"
-25,-39,-42,P1,"(0.35, 0.35)"
-25,-40,-43,P1,"(0.35, 0.35)"
-26,-40,-42,P1,"(0.35, 0.35)"
-25,-40,-42,P1,"(0.35, 0.35)"
-25,-42,-42,P1,"(0.35, 0.35)"
-30,-40,-44,P1,"(0.35, 0.35)"
-25,-41,-42,P1,"(0.35, 0.35)"
-25,-42,-42,P1,"(0.35, 0.35)"
-25,-41,-42,P1,"(0.35, 0.35)"
-25,-42,-43,P1,"(0.35, 0.35)"
-25,-42,-43,P1,"(0.35, 0.35)"
-25,-43,-42,P1,"(0.35, 0.35)"
-25,-43,-42,P1,"(0.35, 0.35)"
-25,-44,-42,P1,"(0.35, 0.35)"
-25,-44,-43,P1,"(0.35, 0.35)"
-24,-45,-44,P1,"(0.35, 0.35)"
-25,-45,-44,P1,"(0.35, 0.35)"
-24,-46,-43,P1,"(0.35, 0.35)"
-24,-45,-44,P1,"(0.35, 0.35)"
-24,-46,-43,P1,"(0.35, 0.35)"
-24,-46,-43,P1,"(0.35, 0.35)"
-25,-47,-44,P1,"(0.35, 0.35)"
-25,-47,-43,P1,"(0.35, 0.35)"
-25,-47,-43,P1,"(0.35, 0.35)"
-25,-46,-44,P1,"(0.35, 0.35)"
-24,-46,-44,P1,"(0.35, 0.35)"
-25,-45,-43,P1,"(0.35, 0.35)"
-25,-45,-43,P1,"(0.35, 0.35)"
-25,-44,-43,P1,"(0.35, 0.35)"
-25,-44,-44,P1,"(0.35, 0.35)"
-25,-44,-43,P1,"(0.35, 0.35)"
-25,-43,-43,P1,"(0.35, 0.35)"
-25,-43,-45,P1,"(0.35, 0.35)"
-25,-42,-44,P1,"(0.35, 0.35)"
-25,-42,-43,P1,"(0.35, 0.35)"
-25,-42,-43,P1,"(0.35, 0.35)"
